rule_id,match_stage,primary_conditions,trigger_condition,recommended_teas,base_teas,add_on_teas,priority,rule_type,raw_rule
step2::19.1,step2_symptom_combination,贫血,,散云茶、固本茶、元气茶,散云茶、固本茶、元气茶,,2,combination,贫血:散云茶+固本茶+元气茶
step2::20.1,step2_symptom_combination,反复感冒,,橘红茶、散云茶,橘红茶、散云茶,,2,combination,反复感冒:橘红茶+散云茶
step2::21.1,step2_symptom_combination,疲劳乏力,,元气茶、固本茶,元气茶、固本茶,,2,combination,疲劳乏力:元气茶+固本茶
step2::22.1,step2_symptom_combination,功血(月经过多),,固本茶、元气茶,固本茶、元气茶,,2,combination,功血(月经过多):固本茶+元气茶
step2::23.1,step2_symptom_combination,心肌缺血,,参灵茶、元气茶,参灵茶、元气茶,,2,combination,心肌缺血:参灵茶+元气茶
step2::24.1,step2_symptom_combination,胆结石、胆囊炎,,石斛茶、元气茶,石斛茶、元气茶,,2,combination,胆结石、胆囊炎:石斛茶+元气茶
step2::25.1,step2_symptom_combination,头发稀少、掉发,,固本茶、元气茶、石斛茶,固本茶、元气茶、石斛茶,,2,combination,头发稀少、掉发:固本茶+元气茶+石斛茶
step2::26.1,step2_symptom_combination,过敏性鼻炎,,橘红茶、散云茶,橘红茶、散云茶,,2,combination,过敏性鼻炎:橘红茶+散云茶
step2::27.1,step2_symptom_combination,耳鸣,,参灵茶、舒安茶、元气茶,参灵茶、舒安茶、元气茶,,2,combination,耳鸣:参灵茶+舒安茶+元气茶
step2::28.1,step2_symptom_combination,反复口腔溃疡,,石斛茶、元气茶,石斛茶、元气茶,,2,combination,反复口腔溃疡:石斛茶+元气茶
step2::29.1,step2_symptom_combination,容易上火,,石斛茶、元气茶,石斛茶、元气茶,,2,combination,"容易上火:石斛茶+元气茶;胃火大:石斛茶+香橼茶,肾火大:石斛茶+茯清茶"
step2::29.2,step2_symptom_combination,容易上火,胃火大,石斛茶、香橼茶、茯清茶,石斛茶、香橼茶、茯清茶,,2,combination,"容易上火:石斛茶+元气茶;胃火大:石斛茶+香橼茶,肾火大:石斛茶+茯清茶"
step2::29.3,step2_symptom_combination,容易上火,肾火大,石斛茶、茯清茶,石斛茶、茯清茶,,2,combination,"容易上火:石斛茶+元气茶;胃火大:石斛茶+香橼茶,肾火大:石斛茶+茯清茶"
step2::30.1,step2_symptom_combination,腿脚不灵活,,元气茶、固本茶,元气茶、固本茶,,2,combination,腿脚不灵活:元气茶+固本茶
